,attack
1231,0
1232,0
1233,0
1234,0
1235,0
1236,0
1237,0
1238,1
1239,0
1240,1
1241,1
1242,0
1243,1
1244,0
1245,0
1246,0
1247,0
1248,0
1249,0
1250,1
1251,1
1252,0
1253,0
1254,1
1255,0
1256,0
1257,0
1258,0
1259,1
1260,0
1261,1
1262,1
1263,0
1264,0
1265,1
1266,1
1267,1
1268,0
1269,1
1270,0
1271,0
1272,0
1273,0
1274,0
1275,0
1276,0
1277,0
1278,1
1279,0
1280,0
1281,0
1282,0
1283,1
1284,0
1285,1
1286,0
1287,1
1288,0
1289,0
1290,0
1291,0
1292,1
1293,0
1294,1
1295,0
1296,1
1297,0
1298,1
1299,0
1300,0
1301,0
1302,0
1303,0
1304,0
1305,0
1306,1
1307,1
1308,0
1309,0
1310,0
1311,1
1312,0
1313,0
1314,0
1315,0
1316,1
1317,0
1318,0
1319,1
1320,0
1321,0
1322,0
1323,0
1324,0
1325,0
1326,0
1327,1
1328,0
1329,0
1330,0
1331,0
1332,0
1333,0
1334,1
1335,0
1336,0
1337,1
1338,0
1339,1
1340,1
1341,0
1342,0
1343,0
1344,0
1345,1
1346,1
1347,1
1348,0
1349,1
1350,0
1351,0
1352,1
1353,0
1354,0
1355,1
1356,0
1357,1
1358,1
1359,0
1360,1
1361,0
1362,0
1363,0
1364,0
1365,1
1366,1
1367,0
1368,1
1369,1
1370,0
1371,0
1372,0
1373,1
1374,1
1375,0
1376,0
1377,0
1378,0
1379,0
1380,1
1381,0
1382,0
1383,1
1384,1
1385,0
1386,0
1387,1
1388,1
1389,0
1390,0
1391,1
1392,1
1393,0
1394,0
1395,0
1396,1
1397,0
1398,0
1399,0
1400,0
1401,1
1402,0
1403,1
1404,0
1405,0
1406,1
1407,1
1408,0
1409,1
1410,1
1411,1
1412,1
1413,1
1414,0
1415,1
1416,0
1417,1
1418,0
1419,1
1420,0
1421,1
1422,0
1423,1
1424,0
1425,0
1426,1
1427,0
1428,0
1429,1
1430,1
1431,0
1432,1
1433,0
1434,0
1435,0
1436,1
1437,0
1438,1
1439,0
1440,0
1441,1
1442,0
1443,1
1444,1
1445,1
1446,0
1447,0
1448,0
1449,1
1450,0
1451,0
1452,0
1453,1
1454,1
1455,1
1456,0
1457,1
1458,0
1459,0
1460,1
1461,1
1462,0
1463,1
1464,0
1465,0
1466,0
1467,0
1468,0
1469,0
1470,0
1471,1
1472,0
1473,1
1474,1
1475,1
1476,0
1477,0
1478,1
1479,0
1480,1
1481,0
1482,0
1483,0
1484,0
1485,0
1486,0
1487,0
1488,0
1489,0
1490,0
1491,0
1492,0
1493,1
1494,0
1495,0
1496,0
1497,1
1498,0
1499,0
1500,0
1501,0
1502,1
1503,0
1504,1
1505,0
1506,1
1507,1
1508,0
1509,1
1510,1
1511,0
1512,0
1513,0
1514,1
1515,1
1516,0
1517,1
1518,1
1519,1
1520,0
1521,0
1522,0
1523,1
1524,1
1525,0
1526,0
1527,1
1528,1
1529,1
1530,1
1531,0
1532,0
1533,0
1534,1
1535,1
1536,1
1537,0
1538,0
1539,0
1540,1
1541,0
1542,0
1543,0
1544,0
1545,1
1546,1
1547,0
1548,0
1549,1
1550,0
1551,0
1552,0
1553,1
1554,1
1555,0
1556,0
1557,1
1558,0
1559,0
1560,0
1561,0
1562,1
1563,0
1564,0
1565,0
1566,1
1567,0
1568,0
1569,1
1570,0
1571,0
1572,0
1573,1
1574,1
1575,1
1576,0
1577,1
1578,1
1579,0
1580,0
1581,0
1582,1
1583,0
1584,0
1585,0
1586,1
1587,0
1588,0
1589,0
1590,1
1591,0
1592,0
1593,1
1594,1
1595,1
1596,1
1597,1
1598,1
1599,0
1600,0
1601,0
1602,0
1603,1
1604,1
1605,1
1606,0
1607,0
1608,0
1609,1
1610,0
1611,1
1612,0
1613,0
1614,0
1615,0
1616,1
1617,1
1618,0
1619,0
1620,0
1621,1
1622,0
1623,0
1624,0
1625,0
1626,1
1627,0
1628,1
1629,0
1630,1
1631,0
1632,0
1633,1
1634,0
1635,0
1636,1
1637,1
1638,0
1639,0
1640,1
1641,0
1642,0
1643,0
1644,1
1645,0
1646,0
1647,1
1648,1
1649,0
1650,1
1651,0
1652,0
1653,0
1654,1
1655,0
1656,0
1657,1
1658,1
1659,0
1660,0
1661,1
1662,1
1663,0
1664,1
1665,1
1666,1
1667,0
1668,0
1669,0
1670,1
1671,0
1672,1
1673,1
1674,0
1675,1
1676,0
1677,0
1678,0
1679,0
1680,0
1681,1
1682,1
1683,1
1684,0
1685,1
1686,0
1687,1
1688,1
1689,0
1690,0
1691,0
1692,1
1693,0
1694,1
1695,0
1696,0
1697,1
1698,0
1699,0
1700,0
1701,0
1702,0
1703,1
1704,1
1705,1
1706,1
1707,1
1708,0
1709,0
1710,0
1711,0
1712,1
1713,0
1714,0
1715,0
1716,1
1717,0
1718,1
1719,0
1720,1
1721,0
1722,0
1723,0
1724,0
1725,0
1726,0
1727,0
1728,0
1729,0
1730,1
1731,1
1732,0
1733,0
1734,0
1735,1
1736,0
1737,1
1738,1
1739,1
1740,0
1741,0
1742,0
1743,1
1744,0
1745,1
1746,0
1747,0
1748,0
1749,0
1750,1
1751,0
1752,1
1753,1
1754,0
1755,0
1756,0
1757,0
1758,1
1759,0
1760,1
1761,0
1762,0
1763,0
1764,0
1765,1
1766,1
1767,0
1768,0
1769,0
1770,0
1771,0
1772,0
1773,0
1774,0
1775,0
1776,0
1777,0
1778,1
1779,1
1780,0
1781,0
1782,1
1783,0
1784,0
1785,0
1786,1
1787,0
1788,1
1789,0
1790,0
1791,1
1792,0
1793,0
1794,1
1795,1
1796,1
1797,0
1798,0
1799,1
1800,1
1801,0
1802,0
1803,0
1804,0
1805,1
1806,0
1807,0
1808,0
1809,0
1810,0
1811,1
1812,0
1813,1
1814,0
1815,0
1816,1
1817,1
1818,1
1819,0
1820,1
1821,1
1822,0
1823,0
1824,1
1825,1
1826,0
1827,1
1828,0
1829,0
1830,0
1831,1
1832,0
1833,1
1834,0
1835,0
1836,0
1837,0
1838,0
1839,1
1840,1
1841,1
1842,0
1843,1
1844,0
1845,0
1846,0
1847,0
1848,0
1849,0
1850,1
1851,0
1852,0
1853,1
1854,0
1855,0
1856,1
1857,0
1858,0
1859,0
1860,1
1861,0
1862,0
1863,0
1864,0
1865,1
1866,0
1867,1
1868,1
1869,0
1870,1
1871,0
1872,0
1873,1
1874,1
1875,0
1876,0
1877,1
1878,0
1879,1
1880,1
1881,1
1882,1
1883,0
1884,1
1885,0
1886,0
1887,1
1888,1
1889,0
1890,0
1891,1
1892,0
1893,1
1894,0
1895,0
1896,0
1897,1
1898,0
1899,0
1900,1
1901,0
1902,0
1903,0
1904,1
1905,0
1906,1
1907,0
1908,0
1909,0
1910,1
1911,1
1912,1
1913,0
1914,0
1915,1
1916,0
1917,0
1918,1
1919,0
1920,0
1921,0
1922,1
1923,0
1924,1
1925,0
1926,1
1927,0
1928,1
1929,0
1930,0
1931,1
1932,0
1933,1
1934,1
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,1
1943,0
1944,0
1945,0
1946,0
1947,1
1948,0
1949,0
1950,1
1951,1
1952,1
1953,1
1954,0
1955,1
1956,0
1957,0
1958,1
1959,1
1960,0
1961,1
1962,1
1963,1
1964,0
1965,0
1966,0
1967,0
1968,0
1969,1
1970,1
1971,0
1972,1
1973,0
1974,1
1975,1
1976,0
1977,1
1978,0
1979,0
1980,0
1981,0
1982,0
1983,1
1984,1
1985,0
1986,0
1987,1
1988,0
1989,1
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,1
2001,1
2002,0
2003,0
2004,1
2005,0
2006,0
2007,0
2008,1
2009,1
2010,1
2011,1
2012,1
2013,1
2014,1
2015,0
2016,0
2017,1
2018,1
2019,0
2020,1
2021,0
2022,1
2023,0
2024,0
2025,1
2026,0
2027,0
2028,0
2029,0
2030,1
2031,0
2032,0
2033,0
2034,0
2035,0
2036,0
2037,0
2038,0
2039,1
2040,0
2041,0
2042,0
2043,1
2044,0
2045,0
2046,1
2047,0
2048,0
2049,0
2050,1
2051,1
2052,0
2053,0
2054,1
2055,0
2056,1
2057,1
2058,1
2059,0
2060,1
2061,0
2062,0
2063,0
2064,1
2065,0
2066,1
2067,0
2068,1
2069,0
2070,0
2071,1
2072,0
2073,0
2074,1
2075,0
2076,0
2077,1
2078,1
2079,1
2080,1
2081,0
2082,0
2083,0
2084,0
2085,1
2086,0
2087,0
2088,1
2089,1
2090,0
2091,0
2092,1
2093,1
2094,0
2095,0
2096,0
2097,1
2098,0
2099,1
2100,1
2101,1
2102,0
2103,1
2104,1
2105,0
2106,0
2107,1
2108,0
2109,0
2110,0
2111,1
2112,1
2113,0
2114,0
2115,0
2116,0
2117,0
2118,0
2119,0
2120,0
2121,0
2122,0
2123,1
2124,0
2125,0
2126,1
2127,0
2128,0
2129,1
2130,0
2131,0
2132,0
2133,1
2134,0
2135,1
2136,0
2137,0
2138,0
2139,0
2140,0
2141,1
2142,0
2143,1
2144,0
2145,0
2146,0
2147,0
2148,0
2149,0
2150,0
2151,0
2152,0
2153,1
2154,0
2155,0
2156,0
2157,0
2158,1
2159,0
2160,1
2161,0
2162,0
2163,1
2164,0
2165,0
2166,0
2167,1
2168,0
2169,0
2170,1
2171,0
2172,0
2173,1
2174,0
2175,0
2176,0
2177,0
2178,1
2179,0
2180,0
2181,1
2182,0
2183,0
2184,1
2185,0
2186,1
2187,0
2188,1
2189,0
2190,1
2191,1
2192,0
2193,1
2194,0
2195,0
2196,1
2197,0
2198,0
2199,1
2200,0
2201,1
2202,0
2203,0
2204,0
2205,0
2206,1
2207,0
2208,0
2209,1
2210,0
2211,0
2212,1
2213,0
2214,0
2215,0
2216,0
2217,0
2218,0
2219,1
2220,0
2221,0
2222,0
2223,1
2224,0
2225,0
2226,0
2227,0
2228,0
2229,0
2230,1
2231,0
2232,0
2233,0
2234,0
2235,0
2236,0
2237,1
2238,1
2239,1
2240,1
2241,0
2242,0
2243,1
2244,0
2245,0
2246,0
2247,0
2248,1
2249,0
2250,1
2251,0
2252,1
2253,0
2254,0
2255,0
2256,0
2257,1
2258,1
2259,0
2260,1
2261,0
2262,1
2263,1
2264,0
2265,1
2266,1
2267,0
2268,0
2269,0
2270,1
2271,0
2272,0
2273,1
2274,0
2275,0
2276,0
2277,1
2278,1
2279,0
2280,0
2281,0
2282,0
2283,0
2284,1
2285,1
2286,0
2287,1
2288,0
2289,1
2290,1
2291,0
2292,0
2293,0
2294,0
2295,0
2296,0
2297,1
2298,0
2299,1
2300,1
2301,1
2302,1
2303,0
2304,0
2305,1
2306,1
2307,0
2308,0
2309,1
2310,1
2311,0
2312,1
2313,0
2314,1
2315,1
2316,1
2317,1
2318,1
2319,1
2320,1
2321,1
2322,0
2323,0
2324,1
2325,0
2326,0
2327,0
2328,0
2329,0
2330,0
2331,0
2332,1
2333,0
2334,0
2335,0
2336,0
2337,0
2338,1
2339,0
2340,1
2341,1
2342,1
2343,0
2344,0
2345,1
2346,0
2347,0
2348,1
2349,0
2350,0
2351,1
2352,1
2353,1
2354,1
2355,1
2356,1
2357,0
2358,0
2359,1
2360,0
2361,0
2362,0
2363,0
2364,0
2365,1
2366,1
2367,0
2368,0
2369,0
2370,0
2371,1
2372,1
2373,0
2374,0
2375,1
2376,0
2377,0
2378,0
2379,0
2380,1
2381,1
2382,1
2383,1
2384,1
2385,0
2386,1
2387,0
2388,0
2389,0
2390,0
2391,0
2392,0
2393,1
2394,1
2395,1
2396,0
2397,0
2398,1
2399,0
2400,0
2401,1
2402,1
2403,0
2404,0
2405,0
2406,0
2407,0
2408,0
2409,0
2410,0
2411,0
2412,0
2413,1
2414,1
2415,0
2416,0
2417,1
2418,0
2419,0
2420,1
2421,0
2422,0
2423,0
2424,1
2425,0
2426,0
2427,1
2428,1
2429,0
2430,0
2431,1
2432,0
2433,0
2434,1
2435,0
2436,0
2437,1
2438,0
2439,0
2440,0
2441,0
2442,1
2443,1
2444,1
2445,1
2446,0
2447,0
2448,0
2449,0
2450,0
2451,0
2452,0
2453,0
2454,0
2455,1
2456,0
2457,0
2458,0
2459,0
2460,1
2461,1
2462,1
2463,1
2464,1
2465,1
2466,0
2467,0
2468,1
2469,0
2470,0
2471,1
2472,0
2473,0
2474,1
2475,0
2476,1
2477,0
2478,0
2479,1
2480,0
2481,1
2482,0
2483,0
2484,0
2485,1
2486,0
2487,0
2488,0
2489,0
2490,0
2491,1
2492,0
2493,0
2494,0
2495,0
2496,0
2497,0
2498,0
2499,0
2500,0
2501,1
2502,1
2503,1
2504,1
2505,0
2506,1
2507,0
2508,1
2509,1
2510,0
2511,0
2512,0
2513,0
2514,0
2515,0
2516,0
2517,1
2518,1
2519,0
2520,1
2521,0
2522,1
2523,0
2524,1
2525,0
2526,0
2527,1
2528,0
2529,0
2530,0
2531,0
2532,0
2533,0
2534,0
2535,1
2536,0
2537,0
2538,0
2539,0
2540,0
2541,1
2542,1
2543,0
2544,1
2545,1
2546,0
2547,1
2548,1
2549,0
2550,0
2551,0
2552,0
2553,0
2554,0
2555,0
2556,0
2557,0
2558,1
2559,0
2560,1
2561,0
2562,1
2563,0
2564,1
2565,0
2566,0
2567,0
2568,1
2569,1
2570,1
2571,1
2572,0
2573,1
2574,1
2575,0
2576,0
2577,1
2578,0
2579,0
2580,0
2581,1
2582,0
2583,1
2584,0
2585,1
2586,0
2587,0
2588,0
2589,0
2590,0
2591,0
2592,1
2593,0
2594,1
2595,0
2596,0
2597,0
2598,0
2599,0
2600,1
2601,0
2602,1
2603,0
2604,1
2605,0
2606,0
2607,0
2608,0
2609,1
2610,0
2611,0
2612,0
2613,0
2614,1
2615,1
2616,0
2617,0
2618,1
2619,0
2620,1
2621,1
2622,0
2623,1
2624,1
2625,0
2626,0
2627,0
2628,1
2629,0
2630,1
2631,0
2632,0
2633,0
2634,0
2635,0
2636,0
2637,1
2638,1
2639,1
2640,0
2641,1
2642,0
2643,1
2644,1
2645,0
2646,0
2647,0
2648,0
2649,0
2650,1
2651,1
2652,0
2653,1
2654,0
2655,0
2656,0
2657,0
2658,0
2659,1
2660,0
2661,0
2662,1
2663,0
2664,1
2665,0
2666,0
2667,0
2668,0
2669,0
2670,1
2671,0
2672,1
2673,0
2674,0
2675,1
2676,0
2677,1
2678,0
2679,1
2680,0
2681,0
2682,0
2683,1
2684,0
2685,0
2686,0
2687,0
2688,0
2689,0
2690,0
2691,0
2692,0
2693,0
2694,1
2695,1
2696,1
2697,1
2698,0
2699,1
2700,0
2701,0
2702,0
2703,1
2704,0
2705,0
2706,0
2707,0
2708,0
2709,0
2710,0
2711,1
2712,1
2713,0
2714,0
2715,1
2716,0
2717,1
2718,1
2719,0
2720,1
2721,0
2722,0
2723,0
2724,1
2725,0
2726,0
2727,0
2728,0
2729,1
2730,1
2731,0
2732,0
2733,0
2734,0
2735,0
2736,0
2737,0
2738,1
2739,1
2740,1
2741,0
2742,0
2743,1
2744,1
2745,0
2746,0
2747,0
2748,1
2749,1
2750,0
2751,0
2752,0
2753,1
2754,0
2755,0
2756,0
2757,0
2758,0
2759,0
2760,1
2761,1
2762,1
2763,1
2764,0
2765,1
2766,0
2767,1
2768,1
2769,1
2770,0
2771,1
2772,0
2773,0
2774,0
2775,1
2776,0
2777,0
2778,0
2779,0
2780,0
2781,0
2782,0
2783,1
2784,1
2785,1
2786,0
2787,1
2788,0
2789,0
2790,0
2791,0
2792,0
2793,1
2794,1
2795,0
2796,0
2797,1
2798,0
2799,1
2800,0
2801,1
2802,1
2803,1
2804,0
2805,0
2806,0
2807,0
2808,0
2809,1
2810,0
2811,1
2812,1
2813,0
2814,0
2815,1
2816,1
2817,0
2818,0
2819,0
2820,0
2821,1
2822,1
2823,1
2824,1
2825,1
2826,0
2827,1
2828,1
2829,0
2830,1
2831,0
2832,1
2833,0
2834,0
2835,1
2836,0
2837,0
2838,1
2839,1
2840,0
2841,0
2842,0
2843,1
2844,0
2845,0
2846,0
2847,0
2848,0
2849,1
2850,1
2851,1
2852,0
2853,0
2854,0
2855,0
2856,0
2857,1
2858,0
2859,0
2860,1
2861,1
2862,0
2863,1
2864,0
2865,1
2866,1
2867,1
2868,0
2869,0
2870,0
2871,1
2872,0
2873,0
2874,0
2875,1
2876,1
2877,0
2878,0
2879,0
2880,1
2881,1
2882,1
2883,1
2884,1
2885,1
2886,0
2887,1
2888,0
2889,1
2890,1
2891,0
2892,1
2893,1
2894,0
2895,0
2896,0
2897,0
2898,0
2899,1
2900,0
2901,1
2902,0
2903,0
2904,0
2905,0
2906,0
2907,0
2908,1
2909,1
2910,0
2911,0
2912,0
2913,1
2914,0
2915,1
2916,0
2917,0
2918,1
2919,1
2920,0
2921,0
2922,1
2923,0
2924,1
2925,0
2926,1
2927,0
2928,0
2929,0
2930,1
2931,0
2932,1
2933,1
2934,0
2935,1
2936,0
2937,0
2938,0
2939,1
2940,0
2941,0
2942,0
2943,0
2944,1
2945,0
2946,0
2947,1
2948,1
2949,0
2950,0
2951,1
2952,1
2953,0
2954,1
2955,0
2956,0
2957,0
2958,0
2959,0
2960,0
2961,0
2962,0
2963,0
2964,1
2965,0
2966,0
2967,0
2968,0
2969,1
2970,1
2971,0
2972,1
2973,0
2974,0
2975,0
2976,1
2977,0
2978,1
2979,0
2980,1
2981,0
2982,0
2983,1
2984,1
2985,0
2986,1
2987,0
2988,0
2989,0
2990,0
2991,1
2992,0
2993,1
2994,0
2995,1
2996,1
2997,0
